D10	64.70	81.10	270.00		SOD-123
D11	102.00	73.10	270.00		SOD-123
D12	153.90	67.50	270.00		SOD-123
D13	189.50	82.70	270.00		SOD-123
D14	228.40	83.60	270.00		SOD-123
D15	21.80	62.70	270.00		SOD-123
D16	60.70	61.90	270.00		SOD-123
D17	98.00	54.60	270.00		SOD-123
D18	157.90	49.10	270.00		SOD-123
D19	193.50	64.30	270.00		SOD-123
D20	232.30	65.00	270.00		SOD-123
D21	17.90	44.30	270.00		SOD-123
D22	56.70	43.70	270.00		SOD-123
D23	94.00	35.80	270.00		SOD-123
D24	161.90	30.70	270.00		SOD-123
D25	197.50	45.90	270.00		SOD-123
D26	236.20	46.60	270.00		SOD-123
D27	49.20	99.90	270.00		SOD-123
D28	88.10	99.50	270.00		SOD-123
D29	123.80	84.30	270.00		SOD-123
D3	29.80	100.30	270.00		SOD-123
D30	167.80	93.90	270.00		SOD-123
D31	205.00	101.90	270.00		SOD-123
D32	243.90	102.70	270.00		SOD-123
D33	45.10	81.40	270.00		SOD-123
D34	84.10	81.10	270.00		SOD-123
D35	119.70	65.40	270.00		SOD-123
D36	171.60	75.50	270.00		SOD-123
D37	209.00	83.40	270.00		SOD-123
D38	248.00	83.70	270.00		SOD-123
D39	41.10	62.60	270.00		SOD-123
D4	68.60	99.50	270.00		SOD-123
D40	80.20	62.60	270.00		SOD-123
D41	115.80	46.70	270.00		SOD-123
D42	175.50	57.10	270.00		SOD-123
D43	213.50	64.60	270.00		SOD-123
D44	251.80	65.20	270.00		SOD-123
D45	37.20	44.30	270.00		SOD-123
D46	76.00	43.50	270.00		SOD-123
D47	111.90	28.30	270.00		SOD-123
D48	179.60	38.30	270.00		SOD-123
D49	216.90	46.10	270.00		SOD-123
D5	105.90	91.50	270.00		SOD-123
D50	255.80	46.70	270.00		SOD-123
D51	70.30	23.50	270.00		SOD-123
D52	97.10	11.40	270.00		SOD-123
D53	136.30	8.30	270.00		SOD-123
D54	176.10	14.10	270.00		SOD-123
D55	202.00	23.50	270.00		SOD-123
D6	149.80	85.90	270.00		SOD-123
D7	185.50	101.80	270.00		SOD-123
D8	224.50	101.10	270.00		SOD-123
D9	25.90	81.90	270.00		SOD-123
